order_id,sku,product_category,ordered_qty,unit_price
O-100000,SKU-051,Fashion,2,506.68
O-100000,SKU-174,Fashion,1,930.72
O-100001,SKU-155,Home,1,1121.81
O-100001,SKU-192,Electronics,1,1929.99
O-100001,SKU-006,Beauty,2,270.75
O-100002,SKU-110,Sports,1,446.11
O-100002,SKU-102,Electronics,2,3431.43
O-100002,SKU-125,Sports,2,589.7
O-100002,SKU-013,Fashion,1,1365.68
O-100003,SKU-005,Sports,1,2099.96
O-100004,SKU-112,Sports,1,671.68
O-100004,SKU-009,Beauty,1,706.29
O-100004,SKU-130,Fashion,1,171.1
O-100004,SKU-084,Sports,3,1308.5
O-100005,SKU-086,Electronics,1,3436.12
O-100006,SKU-189,Sports,1,1915.22
O-100006,SKU-020,Electronics,2,3457.69
O-100006,SKU-145,Sports,1,1966.56
O-100006,SKU-024,Home,1,323.2
O-100007,SKU-132,Sports,1,2060.59
O-100007,SKU-023,Beauty,2,1307.81
O-100008,SKU-157,Home,1,1654.62
O-100009,SKU-193,Electronics,4,3327.64
O-100010,SKU-197,Beauty,1,1436.43
O-100011,SKU-071,Beauty,2,1262.58
O-100011,SKU-120,Home,4,1169.95
O-100012,SKU-167,Sports,1,1869.62
O-100012,SKU-085,Fashion,1,355.82
O-100012,SKU-019,Beauty,1,1900.7
O-100012,SKU-047,Sports,1,2051.42
O-100013,SKU-200,Beauty,1,2308.49
O-100014,SKU-006,Electronics,1,1693.3
O-100014,SKU-103,Sports,2,2253.77
O-100014,SKU-148,Beauty,2,2124.59
O-100014,SKU-076,Electronics,3,4589.36
O-100015,SKU-003,Fashion,1,663.06
O-100015,SKU-058,Beauty,3,1118.04
O-100016,SKU-039,Sports,1,1617.48
O-100016,SKU-067,Fashion,2,307.7
O-100016,SKU-058,Sports,1,1181.95
O-100017,SKU-118,Home,3,1743.54
O-100017,SKU-168,Sports,1,2259.09
O-100017,SKU-171,Fashion,1,1236.2
O-100018,SKU-184,Home,3,890.96
O-100018,SKU-148,Home,3,1769.06
O-100019,SKU-198,Home,1,1059.21
O-100020,SKU-053,Electronics,1,413.86
O-100020,SKU-079,Electronics,3,2118.97
O-100020,SKU-047,Sports,4,1915.55
O-100021,SKU-155,Sports,2,1775.45
O-100021,SKU-011,Fashion,1,1331.26
O-100021,SKU-200,Electronics,2,3651.28
O-100021,SKU-033,Fashion,1,80.87
O-100022,SKU-081,Home,1,907.75
O-100022,SKU-059,Fashion,1,430.7
O-100022,SKU-169,Home,1,1667.07
O-100022,SKU-054,Beauty,1,2415.34
O-100023,SKU-070,Fashion,1,633.23
O-100023,SKU-060,Electronics,1,4521.88
O-100023,SKU-056,Home,1,2132.02
O-100024,SKU-113,Electronics,3,4073.39
O-100024,SKU-032,Beauty,2,2125.99
O-100024,SKU-097,Home,1,1404.24
O-100025,SKU-098,Beauty,1,244.75
O-100025,SKU-013,Beauty,2,1139.77
O-100026,SKU-103,Beauty,1,850.62
O-100026,SKU-051,Sports,1,2220.45
O-100026,SKU-053,Electronics,1,3261.23
O-100026,SKU-198,Electronics,2,1621.41
O-100027,SKU-045,Sports,1,72.59
O-100027,SKU-130,Sports,1,1077.78
O-100028,SKU-032,Home,1,1855.86
O-100028,SKU-042,Electronics,3,805.47
O-100029,SKU-126,Fashion,1,1041.55
O-100029,SKU-190,Beauty,1,1564.93
O-100029,SKU-155,Home,1,55.1
O-100029,SKU-092,Home,3,1409.49
O-100030,SKU-024,Beauty,2,1632.87
O-100030,SKU-130,Fashion,1,150.73
O-100030,SKU-093,Sports,2,939.97
O-100031,SKU-029,Beauty,1,1785.08
O-100032,SKU-005,Electronics,4,1504.22
O-100033,SKU-098,Fashion,1,274.56
O-100033,SKU-108,Fashion,1,659.59
O-100033,SKU-103,Fashion,1,530.93
O-100033,SKU-026,Electronics,1,320.56
O-100034,SKU-112,Home,2,2452.5
O-100034,SKU-167,Electronics,1,2964.84
O-100034,SKU-077,Beauty,2,670.73
O-100035,SKU-121,Fashion,3,974.67
O-100035,SKU-005,Electronics,2,4521.87
O-100035,SKU-071,Home,1,168.89
O-100036,SKU-064,Home,2,1312.9
O-100036,SKU-046,Sports,1,1662.34
O-100036,SKU-145,Home,1,1771.11
O-100036,SKU-003,Home,2,277.22
O-100037,SKU-178,Electronics,1,3329.05
O-100037,SKU-121,Sports,3,314.27
O-100037,SKU-196,Home,1,2139.37
O-100037,SKU-010,Fashion,1,1168.3
O-100038,SKU-096,Beauty,1,1017.22
O-100038,SKU-159,Home,3,1346.63
O-100039,SKU-108,Home,3,1991.59
O-100039,SKU-045,Sports,2,139.98
O-100040,SKU-039,Home,3,540.9
O-100040,SKU-190,Fashion,1,485.85
O-100040,SKU-172,Electronics,1,3439.89
