order_id,order_date,promised_delivery_date,customer_region,order_priority,order_channel,order_status
O-100000,2024-04-12,2024-04-14,Free State,Express,Web,Completed
O-100001,2024-04-12,2024-04-17,Free State,Normal,Mobile,Completed
O-100002,2024-04-09,2024-04-15,Western Cape,Normal,Web,Completed
O-100003,2024-03-28,2024-04-03,Gauteng,Express,Web,Completed
O-100004,2024-02-02,2024-02-06,Limpopo,Normal,Web,Completed
O-100005,2024-03-31,2024-04-06,Gauteng,Normal,Web,Completed
O-100006,2024-03-02,2024-03-07,Mpumalanga,Express,Web,Completed
O-100007,2024-01-03,2024-01-08,Western Cape,Express,Mobile,Completed
O-100008,2024-01-18,2024-01-24,Limpopo,Express,Mobile,Completed
O-100009,2024-01-09,2024-01-17,Western Cape,Normal,Mobile,Completed
O-100010,2024-02-13,2024-02-17,KwaZulu-Natal,Normal,Web,Completed
O-100011,2024-02-05,2024-02-12,KwaZulu-Natal,Normal,Web,Completed
O-100012,2024-02-23,2024-03-01,Limpopo,Normal,Web,Completed
O-100013,2024-03-30,2024-04-06,KwaZulu-Natal,Normal,Mobile,Completed
O-100014,2024-02-17,2024-02-25,Free State,Normal,Mobile,Completed
O-100015,2024-03-02,2024-03-09,Gauteng,Normal,Mobile,Completed
O-100016,2024-02-22,2024-03-05,Mpumalanga,Normal,Mobile,Completed
O-100017,2024-04-18,2024-04-24,Mpumalanga,Normal,Mobile,Completed
O-100018,2024-03-11,2024-03-19,Western Cape,Normal,Web,Completed
O-100019,2024-04-24,2024-05-01,Free State,Normal,Web,Completed
O-100020,2024-01-05,2024-01-10,Gauteng,Express,Web,Completed
O-100021,2024-03-12,2024-03-20,Limpopo,Normal,Mobile,Completed
O-100022,2024-03-02,2024-03-09,Free State,Normal,Mobile,Completed
O-100023,2024-02-04,2024-02-10,KwaZulu-Natal,Normal,Mobile,Completed
O-100024,2024-01-01,2024-01-08,Free State,Normal,Mobile,Completed
O-100025,2024-01-27,2024-02-02,Free State,Normal,Web,Completed
O-100026,2024-02-20,2024-02-28,Free State,Normal,Web,Completed
O-100027,2024-04-05,2024-04-10,Free State,Normal,Web,Completed
O-100028,2024-01-15,2024-01-22,Limpopo,Express,Mobile,Completed
O-100029,2024-04-24,2024-05-01,Free State,Normal,Web,Completed
O-100030,2024-02-26,2024-03-03,KwaZulu-Natal,Normal,Web,Completed
O-100031,2024-03-15,2024-03-21,Gauteng,Normal,Mobile,Completed
O-100032,2024-03-02,2024-03-06,KwaZulu-Natal,Normal,Web,Completed
O-100033,2024-04-25,2024-05-01,Mpumalanga,Normal,Mobile,Completed
O-100034,2024-01-09,2024-01-17,Free State,Normal,Mobile,Completed
O-100035,2024-02-28,2024-03-03,Free State,Normal,Mobile,Completed
O-100036,2024-03-02,2024-03-09,KwaZulu-Natal,Express,Web,Completed
O-100037,2024-01-02,2024-01-09,Free State,Normal,Mobile,Completed
O-100038,2024-02-28,2024-03-07,Mpumalanga,Normal,Mobile,Completed
O-100039,2024-04-10,2024-04-16,Limpopo,Normal,Mobile,Completed
O-100040,2024-02-22,2024-03-03,Western Cape,Normal,Mobile,Completed
O-100041,2024-02-24,2024-02-29,Gauteng,Express,Web,Completed
O-100042,2024-01-24,2024-02-02,Free State,Normal,Web,Completed
O-100043,2024-04-21,2024-04-27,Limpopo,Express,Web,Completed
O-100044,2024-03-20,2024-03-29,Limpopo,Normal,Mobile,Completed
O-100045,2024-03-30,2024-04-08,KwaZulu-Natal,Normal,Web,Completed
O-100046,2024-02-21,2024-02-28,Free State,Express,Web,Completed
O-100047,2024-04-13,2024-04-18,Mpumalanga,Normal,Mobile,Completed
O-100048,2024-01-23,2024-01-31,KwaZulu-Natal,Normal,Web,Completed
O-100049,2024-04-21,2024-04-27,Limpopo,Normal,Web,Completed
O-100050,2024-02-17,2024-02-26,Gauteng,Express,Mobile,Completed
O-100051,2024-04-28,2024-05-07,Western Cape,Normal,Web,Completed
O-100052,2024-01-20,2024-01-26,KwaZulu-Natal,Express,Web,Completed
O-100053,2024-03-12,2024-03-19,KwaZulu-Natal,Express,Web,Completed
O-100054,2024-04-21,2024-04-27,Mpumalanga,Normal,Web,Completed
O-100055,2024-04-19,2024-04-23,KwaZulu-Natal,Normal,Mobile,Completed
O-100056,2024-04-09,2024-04-15,Gauteng,Normal,Mobile,Completed
O-100057,2024-03-07,2024-03-15,Western Cape,Normal,Web,Completed
O-100058,2024-03-26,2024-03-31,Mpumalanga,Normal,Web,Completed
O-100059,2024-04-18,2024-04-26,Free State,Normal,Mobile,Completed
O-100060,2024-01-21,2024-01-25,Mpumalanga,Normal,Web,Completed
O-100061,2024-03-01,2024-03-09,Free State,Normal,Mobile,Completed
O-100062,2024-01-17,2024-01-22,Western Cape,Express,Mobile,Completed
O-100063,2024-01-06,2024-01-09,Mpumalanga,Normal,Mobile,Completed
O-100064,2024-02-15,2024-02-23,Mpumalanga,Express,Web,Completed
O-100065,2024-03-03,2024-03-09,KwaZulu-Natal,Normal,Mobile,Completed
O-100066,2024-01-18,2024-01-27,Free State,Normal,Mobile,Completed
O-100067,2024-04-13,2024-04-19,Mpumalanga,Normal,Mobile,Completed
O-100068,2024-01-23,2024-01-29,Western Cape,Normal,Web,Completed
O-100069,2024-01-17,2024-01-23,KwaZulu-Natal,Express,Web,Completed
O-100070,2024-04-02,2024-04-08,Mpumalanga,Normal,Web,Completed
O-100071,2024-01-24,2024-01-27,Western Cape,Express,Web,Completed
O-100072,2024-01-20,2024-01-27,Free State,Normal,Web,Completed
O-100073,2024-03-27,2024-04-05,Gauteng,Normal,Web,Completed
O-100074,2024-03-26,2024-03-31,Gauteng,Normal,Web,Completed
O-100075,2024-01-22,2024-01-27,Free State,Normal,Mobile,Completed
O-100076,2024-01-15,2024-01-19,Mpumalanga,Normal,Web,Completed
O-100077,2024-02-29,2024-03-05,Mpumalanga,Normal,Mobile,Completed
O-100078,2024-04-05,2024-04-11,Limpopo,Normal,Mobile,Completed
O-100079,2024-04-23,2024-04-29,Gauteng,Normal,Web,Completed
O-100080,2024-01-19,2024-01-24,Limpopo,Normal,Mobile,Completed
O-100081,2024-04-26,2024-05-04,Limpopo,Normal,Mobile,Completed
O-100082,2024-01-01,2024-01-06,Gauteng,Normal,Web,Completed
O-100083,2024-04-27,2024-05-01,Limpopo,Normal,Mobile,Completed
O-100084,2024-01-16,2024-01-21,Western Cape,Normal,Web,Completed
O-100085,2024-04-02,2024-04-07,Mpumalanga,Normal,Mobile,Completed
O-100086,2024-03-26,2024-04-01,Limpopo,Normal,Web,Completed
O-100087,2024-04-22,2024-04-30,Limpopo,Normal,Web,Completed
O-100088,2024-01-16,2024-01-22,Limpopo,Normal,Web,Completed
O-100089,2024-04-03,2024-04-07,Free State,Normal,Web,Completed
O-100090,2024-04-09,2024-04-17,Western Cape,Normal,Web,Completed
O-100091,2024-02-27,2024-03-04,Limpopo,Normal,Mobile,Completed
O-100092,2024-01-02,2024-01-09,Limpopo,Normal,Web,Completed
O-100093,2024-02-04,2024-02-13,Limpopo,Normal,Web,Completed
O-100094,2024-04-10,2024-04-19,KwaZulu-Natal,Normal,Mobile,Completed
O-100095,2024-02-13,2024-02-18,Limpopo,Normal,Mobile,Completed
O-100096,2024-04-24,2024-04-28,Western Cape,Normal,Mobile,Completed
O-100097,2024-01-26,2024-02-01,Gauteng,Normal,Web,Completed
O-100098,2024-01-07,2024-01-13,KwaZulu-Natal,Normal,Web,Completed
O-100099,2024-01-29,2024-02-03,Mpumalanga,Normal,Mobile,Completed
