shipment_id,sku,shipped_qty,delivered_qty,delivered_date,damaged_flag,returned_flag
S-1,SKU-051,2,2,2024-04-17,0,0
S-1,SKU-174,1,1,2024-04-17,0,0
S-2,SKU-192,1,0,2024-04-15,0,0
S-2,SKU-006,2,2,2024-04-15,0,0
S-2,SKU-155,1,1,2024-04-15,0,0
S-3,SKU-013,1,1,2024-04-13,0,0
S-3,SKU-110,1,1,2024-04-13,0,0
S-3,SKU-125,2,2,2024-04-13,0,0
S-3,SKU-102,2,2,2024-04-13,0,0
S-4,SKU-005,1,1,2024-03-30,0,1
S-5,SKU-112,1,0,2024-02-04,0,0
S-5,SKU-009,1,0,2024-02-04,0,0
S-5,SKU-084,3,3,2024-02-04,0,0
S-5,SKU-130,1,1,2024-02-04,0,0
S-6,SKU-086,1,1,2024-04-01,0,0
S-7,SKU-020,2,2,2024-03-07,0,0
S-7,SKU-189,1,1,2024-03-07,0,0
S-7,SKU-024,1,1,2024-03-07,0,0
S-7,SKU-145,1,1,2024-03-07,0,0
S-8,SKU-023,2,2,2024-01-07,0,0
S-8,SKU-132,1,1,2024-01-07,0,0
S-9,SKU-157,1,1,2024-01-24,0,0
S-10,SKU-193,4,4,2024-01-12,0,0
S-12,SKU-197,1,1,2024-02-18,0,0
S-14,SKU-071,2,1,2024-02-12,0,0
S-14,SKU-120,4,4,2024-02-12,0,0
S-15,SKU-085,1,1,2024-02-27,0,1
S-15,SKU-019,1,1,2024-02-27,0,0
S-15,SKU-167,1,1,2024-02-27,0,0
S-15,SKU-047,1,1,2024-02-27,0,0
S-16,SKU-200,1,1,2024-04-05,1,0
S-17,SKU-103,2,2,2024-02-22,0,0
S-17,SKU-148,2,2,2024-02-22,0,0
S-18,SKU-076,3,3,2024-02-22,0,0
S-18,SKU-006,1,1,2024-02-22,0,1
S-19,SKU-003,1,1,2024-03-09,0,1
S-19,SKU-058,3,2,2024-03-09,0,0
S-20,SKU-039,1,0,2024-03-01,1,0
S-20,SKU-067,2,2,2024-03-01,0,0
S-21,SKU-058,1,1,2024-03-01,0,0
S-22,SKU-171,1,0,2024-04-25,0,0
S-22,SKU-118,3,3,2024-04-25,0,0
S-22,SKU-168,1,1,2024-04-25,1,0
S-23,SKU-184,3,2,2024-03-14,0,0
S-24,SKU-148,3,3,2024-03-15,0,0
S-25,SKU-198,1,1,2024-04-30,0,0
S-27,SKU-079,3,3,2024-01-10,0,0
S-27,SKU-047,4,4,2024-01-10,0,0
S-28,SKU-053,1,1,2024-01-10,0,0
S-29,SKU-155,2,1,2024-03-15,0,0
S-29,SKU-200,2,1,2024-03-15,1,0
S-29,SKU-011,1,1,2024-03-15,0,1
S-29,SKU-033,1,1,2024-03-15,0,0
S-30,SKU-059,1,1,2024-03-06,0,0
