shipment_id,order_id,warehouse,carrier,ship_date,expedite_flag
S-1,O-100000,WH-JHB,FastTrack,2024-04-14,0
S-2,O-100001,WH-JHB,FastTrack,2024-04-13,0
S-3,O-100002,WH-DBN,QuickShip,2024-04-10,0
S-4,O-100003,WH-DBN,FastTrack,2024-03-29,0
S-5,O-100004,WH-JHB,QuickShip,2024-02-02,0
S-6,O-100005,WH-JHB,FastTrack,2024-03-31,0
S-7,O-100006,WH-DBN,FastTrack,2024-03-03,0
S-8,O-100007,WH-JHB,QuickShip,2024-01-03,0
S-9,O-100008,WH-JHB,EconoMove,2024-01-19,0
S-10,O-100009,WH-CPT,FastTrack,2024-01-10,0
S-11,O-100009,WH-CPT,FastTrack,2024-01-10,0
S-12,O-100010,WH-JHB,FastTrack,2024-02-15,0
S-13,O-100010,WH-JHB,FastTrack,2024-02-15,0
S-14,O-100011,WH-JHB,EconoMove,2024-02-05,0
S-15,O-100012,WH-CPT,FastTrack,2024-02-25,0
S-16,O-100013,WH-JHB,QuickShip,2024-04-01,0
S-17,O-100014,WH-DBN,QuickShip,2024-02-20,0
S-18,O-100014,WH-DBN,QuickShip,2024-02-20,0
S-19,O-100015,WH-JHB,QuickShip,2024-03-03,0
S-20,O-100016,WH-DBN,EconoMove,2024-02-25,0
S-21,O-100016,WH-DBN,EconoMove,2024-02-25,0
S-22,O-100017,WH-DBN,EconoMove,2024-04-20,0
S-23,O-100018,WH-JHB,QuickShip,2024-03-13,0
S-24,O-100018,WH-JHB,QuickShip,2024-03-13,0
S-25,O-100019,WH-CPT,QuickShip,2024-04-26,0
S-26,O-100019,WH-CPT,QuickShip,2024-04-26,0
S-27,O-100020,WH-JHB,QuickShip,2024-01-06,0
S-28,O-100020,WH-JHB,QuickShip,2024-01-06,0
S-29,O-100021,WH-CPT,FastTrack,2024-03-13,0
S-30,O-100022,WH-JHB,QuickShip,2024-03-02,0
S-31,O-100022,WH-JHB,QuickShip,2024-03-02,0
S-32,O-100023,WH-JHB,FastTrack,2024-02-05,0
S-33,O-100024,WH-DBN,FastTrack,2024-01-04,0
S-34,O-100025,WH-DBN,QuickShip,2024-01-27,1
S-35,O-100026,WH-DBN,QuickShip,2024-02-23,0
S-36,O-100026,WH-DBN,QuickShip,2024-02-23,0
S-37,O-100027,WH-JHB,FastTrack,2024-04-07,0
S-38,O-100027,WH-JHB,FastTrack,2024-04-07,0
S-39,O-100028,WH-CPT,FastTrack,2024-01-15,1
S-40,O-100028,WH-CPT,FastTrack,2024-01-15,1
S-41,O-100029,WH-DBN,EconoMove,2024-04-25,0
S-42,O-100030,WH-JHB,QuickShip,2024-02-27,0
S-43,O-100031,WH-CPT,FastTrack,2024-03-18,0
S-44,O-100032,WH-JHB,FastTrack,2024-03-02,0
S-45,O-100032,WH-JHB,FastTrack,2024-03-02,0
S-46,O-100033,WH-JHB,FastTrack,2024-04-25,1
S-47,O-100033,WH-JHB,FastTrack,2024-04-25,1
S-48,O-100034,WH-CPT,QuickShip,2024-01-10,0
S-49,O-100035,WH-JHB,QuickShip,2024-03-01,0
S-50,O-100036,WH-JHB,EconoMove,2024-03-03,0
S-51,O-100037,WH-DBN,FastTrack,2024-01-03,0
S-52,O-100038,WH-DBN,QuickShip,2024-03-01,0
S-53,O-100039,WH-JHB,QuickShip,2024-04-12,0
S-54,O-100040,WH-JHB,EconoMove,2024-02-24,0
S-55,O-100040,WH-JHB,EconoMove,2024-02-24,0
S-56,O-100041,WH-JHB,FastTrack,2024-02-24,0
S-57,O-100041,WH-JHB,FastTrack,2024-02-24,0
S-58,O-100042,WH-DBN,EconoMove,2024-01-27,0
S-59,O-100042,WH-DBN,EconoMove,2024-01-27,0
S-60,O-100043,WH-CPT,FastTrack,2024-04-23,0
S-61,O-100044,WH-DBN,QuickShip,2024-03-21,0
S-62,O-100045,WH-DBN,FastTrack,2024-03-31,0
S-63,O-100046,WH-DBN,QuickShip,2024-02-22,0
S-64,O-100047,WH-DBN,FastTrack,2024-04-14,0
S-65,O-100048,WH-CPT,QuickShip,2024-01-25,0
S-66,O-100049,WH-CPT,QuickShip,2024-04-21,1
S-67,O-100049,WH-CPT,QuickShip,2024-04-21,1
