order_id,sku,product_category,ordered_qty,unit_price,shipped_qty,delivered_qty,delivered_date,damaged_flag,returned_flag,in_full_line_flag,short_qty,line_revenue,delivered_revenue,lost_revenue_est
O-100000,SKU-051,Fashion,2,506.68,2,2,2024-04-17,0,0,1,0,1013.36,1013.36,0.0
O-100000,SKU-174,Fashion,1,930.72,1,1,2024-04-17,0,0,1,0,930.72,930.72,0.0
O-100001,SKU-155,Home,1,1121.81,1,1,2024-04-15,0,0,1,0,1121.81,1121.81,0.0
O-100001,SKU-192,Electronics,1,1929.99,1,0,2024-04-15,0,0,0,1,1929.99,0.0,1929.99
O-100001,SKU-006,Beauty,2,270.75,2,2,2024-04-15,0,0,1,0,541.5,541.5,0.0
O-100002,SKU-110,Sports,1,446.11,1,1,2024-04-13,0,0,1,0,446.11,446.11,0.0
O-100002,SKU-102,Electronics,2,3431.43,2,2,2024-04-13,0,0,1,0,6862.86,6862.86,0.0
O-100002,SKU-125,Sports,2,589.7,2,2,2024-04-13,0,0,1,0,1179.4,1179.4,0.0
O-100002,SKU-013,Fashion,1,1365.68,1,1,2024-04-13,0,0,1,0,1365.68,1365.68,0.0
O-100003,SKU-005,Sports,1,2099.96,1,1,2024-03-30,0,1,1,0,2099.96,2099.96,0.0
O-100004,SKU-112,Sports,1,671.68,1,0,2024-02-04,0,0,0,1,671.68,0.0,671.68
O-100004,SKU-009,Beauty,1,706.29,1,0,2024-02-04,0,0,0,1,706.29,0.0,706.29
O-100004,SKU-130,Fashion,1,171.1,1,1,2024-02-04,0,0,1,0,171.1,171.1,0.0
O-100004,SKU-084,Sports,3,1308.5,3,3,2024-02-04,0,0,1,0,3925.5,3925.5,0.0
O-100005,SKU-086,Electronics,1,3436.12,1,1,2024-04-01,0,0,1,0,3436.12,3436.12,0.0
O-100006,SKU-189,Sports,1,1915.22,1,1,2024-03-07,0,0,1,0,1915.22,1915.22,0.0
O-100006,SKU-020,Electronics,2,3457.69,2,2,2024-03-07,0,0,1,0,6915.38,6915.38,0.0
O-100006,SKU-145,Sports,1,1966.56,1,1,2024-03-07,0,0,1,0,1966.56,1966.56,0.0
O-100006,SKU-024,Home,1,323.2,1,1,2024-03-07,0,0,1,0,323.2,323.2,0.0
O-100007,SKU-132,Sports,1,2060.59,1,1,2024-01-07,0,0,1,0,2060.59,2060.59,0.0
O-100007,SKU-023,Beauty,2,1307.81,2,2,2024-01-07,0,0,1,0,2615.62,2615.62,0.0
O-100008,SKU-157,Home,1,1654.62,1,1,2024-01-24,0,0,1,0,1654.62,1654.62,0.0
O-100009,SKU-193,Electronics,4,3327.64,4,4,2024-01-12,0,0,1,0,13310.56,13310.56,0.0
O-100010,SKU-197,Beauty,1,1436.43,1,1,2024-02-18,0,0,1,0,1436.43,1436.43,0.0
O-100011,SKU-071,Beauty,2,1262.58,2,1,2024-02-12,0,0,0,1,2525.16,1262.58,1262.58
O-100011,SKU-120,Home,4,1169.95,4,4,2024-02-12,0,0,1,0,4679.8,4679.8,0.0
O-100012,SKU-167,Sports,1,1869.62,1,1,2024-02-27,0,0,1,0,1869.62,1869.62,0.0
O-100012,SKU-085,Fashion,1,355.82,1,1,2024-02-27,0,1,1,0,355.82,355.82,0.0
O-100012,SKU-019,Beauty,1,1900.7,1,1,2024-02-27,0,0,1,0,1900.7,1900.7,0.0
O-100012,SKU-047,Sports,1,2051.42,1,1,2024-02-27,0,0,1,0,2051.42,2051.42,0.0
O-100013,SKU-200,Beauty,1,2308.49,1,1,2024-04-05,1,0,1,0,2308.49,2308.49,0.0
O-100014,SKU-006,Electronics,1,1693.3,1,1,2024-02-22,0,1,1,0,1693.3,1693.3,0.0
O-100014,SKU-103,Sports,2,2253.77,2,2,2024-02-22,0,0,1,0,4507.54,4507.54,0.0
O-100014,SKU-148,Beauty,2,2124.59,2,2,2024-02-22,0,0,1,0,4249.18,4249.18,0.0
O-100014,SKU-076,Electronics,3,4589.36,3,3,2024-02-22,0,0,1,0,13768.079999999998,13768.079999999998,0.0
O-100015,SKU-003,Fashion,1,663.06,1,1,2024-03-09,0,1,1,0,663.06,663.06,0.0
O-100015,SKU-058,Beauty,3,1118.04,3,2,2024-03-09,0,0,0,1,3354.12,2236.08,1118.04
O-100016,SKU-039,Sports,1,1617.48,1,0,2024-03-01,1,0,0,1,1617.48,0.0,1617.48
O-100016,SKU-067,Fashion,2,307.7,2,2,2024-03-01,0,0,1,0,615.4,615.4,0.0
O-100016,SKU-058,Sports,1,1181.95,1,1,2024-03-01,0,0,1,0,1181.95,1181.95,0.0
O-100017,SKU-118,Home,3,1743.54,3,3,2024-04-25,0,0,1,0,5230.62,5230.62,0.0
O-100017,SKU-168,Sports,1,2259.09,1,1,2024-04-25,1,0,1,0,2259.09,2259.09,0.0
O-100017,SKU-171,Fashion,1,1236.2,1,0,2024-04-25,0,0,0,1,1236.2,0.0,1236.2
O-100018,SKU-184,Home,3,890.96,3,2,2024-03-14,0,0,0,1,2672.88,1781.92,890.96
O-100018,SKU-148,Home,3,1769.06,3,3,2024-03-15,0,0,1,0,5307.18,5307.18,0.0
