order_id,order_date,promised_delivery_date,customer_region,order_priority,order_channel,order_status,order_delivered_date,in_full_order_flag,any_damage_flag,any_return_flag,order_revenue,delivered_revenue,lost_revenue_est,lines_count,total_ordered_qty,total_delivered_qty,warehouse,carrier,on_time_flag,otif_flag,perfect_order_flag,warehouse_processing_days,order_cycle_days,order_day
O-100000,2024-04-12,2024-04-14,Free State,Express,Web,Completed,2024-04-17,1,0,0,1944.08,1944.08,0.0,2,3,3,WH-JHB,FastTrack,0,0,0,2,5,2024-04-12
O-100001,2024-04-12,2024-04-17,Free State,Normal,Mobile,Completed,2024-04-15,0,0,0,3593.3,1663.31,1929.99,3,4,3,WH-JHB,FastTrack,1,0,0,1,3,2024-04-12
O-100002,2024-04-09,2024-04-15,Western Cape,Normal,Web,Completed,2024-04-13,1,0,0,9854.05,9854.05,0.0,4,6,6,WH-DBN,QuickShip,1,1,1,1,4,2024-04-09
O-100003,2024-03-28,2024-04-03,Gauteng,Express,Web,Completed,2024-03-30,1,0,1,2099.96,2099.96,0.0,1,1,1,WH-DBN,FastTrack,1,1,0,1,2,2024-03-28
O-100004,2024-02-02,2024-02-06,Limpopo,Normal,Web,Completed,2024-02-04,0,0,0,5474.57,4096.6,1377.9699999999998,4,6,4,WH-JHB,QuickShip,1,0,0,0,2,2024-02-02
O-100005,2024-03-31,2024-04-06,Gauteng,Normal,Web,Completed,2024-04-01,1,0,0,3436.12,3436.12,0.0,1,1,1,WH-JHB,FastTrack,1,1,1,0,1,2024-03-31
O-100006,2024-03-02,2024-03-07,Mpumalanga,Express,Web,Completed,2024-03-07,1,0,0,11120.36,11120.36,0.0,4,5,5,WH-DBN,FastTrack,1,1,1,1,5,2024-03-02
O-100007,2024-01-03,2024-01-08,Western Cape,Express,Mobile,Completed,2024-01-07,1,0,0,4676.21,4676.21,0.0,2,3,3,WH-JHB,QuickShip,1,1,1,0,4,2024-01-03
O-100008,2024-01-18,2024-01-24,Limpopo,Express,Mobile,Completed,2024-01-24,1,0,0,1654.62,1654.62,0.0,1,1,1,WH-JHB,EconoMove,1,1,1,1,6,2024-01-18
O-100009,2024-01-09,2024-01-17,Western Cape,Normal,Mobile,Completed,2024-01-12,1,0,0,13310.56,13310.56,0.0,1,4,4,WH-CPT,FastTrack,1,1,1,1,3,2024-01-09
O-100010,2024-02-13,2024-02-17,KwaZulu-Natal,Normal,Web,Completed,2024-02-18,1,0,0,1436.43,1436.43,0.0,1,1,1,WH-JHB,FastTrack,0,0,0,2,5,2024-02-13
O-100011,2024-02-05,2024-02-12,KwaZulu-Natal,Normal,Web,Completed,2024-02-12,0,0,0,7204.96,5942.38,1262.58,2,6,5,WH-JHB,EconoMove,1,0,0,0,7,2024-02-05
O-100012,2024-02-23,2024-03-01,Limpopo,Normal,Web,Completed,2024-02-27,1,0,1,6177.5599999999995,6177.5599999999995,0.0,4,4,4,WH-CPT,FastTrack,1,1,0,2,4,2024-02-23
O-100013,2024-03-30,2024-04-06,KwaZulu-Natal,Normal,Mobile,Completed,2024-04-05,1,1,0,2308.49,2308.49,0.0,1,1,1,WH-JHB,QuickShip,1,1,0,2,6,2024-03-30
O-100014,2024-02-17,2024-02-25,Free State,Normal,Mobile,Completed,2024-02-22,1,0,1,24218.1,24218.1,0.0,4,8,8,WH-DBN,QuickShip,1,1,0,3,5,2024-02-17
O-100015,2024-03-02,2024-03-09,Gauteng,Normal,Mobile,Completed,2024-03-09,0,0,1,4017.18,2899.14,1118.04,2,4,3,WH-JHB,QuickShip,1,0,0,1,7,2024-03-02
O-100016,2024-02-22,2024-03-05,Mpumalanga,Normal,Mobile,Completed,2024-03-01,0,1,0,3414.83,1797.35,1617.48,3,4,3,WH-DBN,EconoMove,1,0,0,3,8,2024-02-22
O-100017,2024-04-18,2024-04-24,Mpumalanga,Normal,Mobile,Completed,2024-04-25,0,1,0,8725.91,7489.71,1236.2,3,5,4,WH-DBN,EconoMove,0,0,0,2,7,2024-04-18
O-100018,2024-03-11,2024-03-19,Western Cape,Normal,Web,Completed,2024-03-15,0,0,0,7980.06,7089.1,890.96,2,6,5,WH-JHB,QuickShip,1,0,0,2,4,2024-03-11
O-100019,2024-04-24,2024-05-01,Free State,Normal,Web,Completed,2024-04-30,1,0,0,1059.21,1059.21,0.0,1,1,1,WH-CPT,QuickShip,1,1,1,2,6,2024-04-24
O-100020,2024-01-05,2024-01-10,Gauteng,Express,Web,Completed,2024-01-10,1,0,0,14432.97,14432.97,0.0,3,8,8,WH-JHB,QuickShip,1,1,1,1,5,2024-01-05
O-100021,2024-03-12,2024-03-20,Limpopo,Normal,Mobile,Completed,2024-03-15,0,1,1,12265.59,6838.860000000001,5426.73,4,6,4,WH-CPT,FastTrack,1,0,0,1,3,2024-03-12
O-100022,2024-03-02,2024-03-09,Free State,Normal,Mobile,Completed,2024-03-06,0,0,1,5420.860000000001,3753.79,1667.07,4,4,3,WH-JHB,QuickShip,1,0,0,0,4,2024-03-02
O-100023,2024-02-04,2024-02-10,KwaZulu-Natal,Normal,Mobile,Completed,2024-02-07,0,1,0,7287.129999999999,2765.25,4521.88,3,3,2,WH-JHB,FastTrack,1,0,0,1,3,2024-02-04
O-100024,2024-01-01,2024-01-08,Free State,Normal,Mobile,Completed,2024-01-05,1,0,0,17876.39,17876.39,0.0,3,6,6,WH-DBN,FastTrack,1,1,1,3,4,2024-01-01
O-100025,2024-01-27,2024-02-02,Free State,Normal,Web,Completed,2024-01-29,1,0,1,2524.29,2524.29,0.0,2,3,3,WH-DBN,QuickShip,1,1,0,0,2,2024-01-27
O-100026,2024-02-20,2024-02-28,Free State,Normal,Web,Completed,2024-02-26,1,0,0,9575.119999999999,9575.119999999999,0.0,4,5,5,WH-DBN,QuickShip,1,1,1,3,6,2024-02-20
O-100027,2024-04-05,2024-04-10,Free State,Normal,Web,Completed,2024-04-10,0,0,0,1150.37,72.59,1077.78,2,2,1,WH-JHB,FastTrack,1,0,0,2,5,2024-04-05
O-100028,2024-01-15,2024-01-22,Limpopo,Express,Mobile,Completed,2024-01-16,1,0,0,4272.2699999999995,4272.2699999999995,0.0,2,4,4,WH-CPT,FastTrack,1,1,1,0,1,2024-01-15
O-100029,2024-04-24,2024-05-01,Free State,Normal,Web,Completed,2024-04-28,0,0,0,6890.05,5848.5,1041.55,4,6,5,WH-DBN,EconoMove,1,0,0,1,4,2024-04-24
O-100030,2024-02-26,2024-03-03,KwaZulu-Natal,Normal,Web,Completed,2024-03-03,1,0,1,5296.41,5296.41,0.0,3,5,5,WH-JHB,QuickShip,1,1,0,1,6,2024-02-26
O-100031,2024-03-15,2024-03-21,Gauteng,Normal,Mobile,Completed,2024-03-21,1,0,0,1785.08,1785.08,0.0,1,1,1,WH-CPT,FastTrack,1,1,1,3,6,2024-03-15
O-100032,2024-03-02,2024-03-06,KwaZulu-Natal,Normal,Web,Completed,2024-03-03,1,0,0,6016.88,6016.88,0.0,1,4,4,WH-JHB,FastTrack,1,1,1,0,1,2024-03-02
O-100033,2024-04-25,2024-05-01,Mpumalanga,Normal,Mobile,Completed,2024-04-26,1,0,0,1785.6399999999999,1785.6399999999999,0.0,4,4,4,WH-JHB,FastTrack,1,1,1,0,1,2024-04-25
O-100034,2024-01-09,2024-01-17,Free State,Normal,Mobile,Completed,2024-01-12,0,0,0,9211.3,8540.57,670.73,3,5,4,WH-CPT,QuickShip,1,0,0,1,3,2024-01-09
O-100035,2024-02-28,2024-03-03,Free State,Normal,Mobile,Completed,2024-03-03,1,1,1,12136.64,12136.64,0.0,3,6,6,WH-JHB,QuickShip,1,1,0,2,4,2024-02-28
O-100036,2024-03-02,2024-03-09,KwaZulu-Natal,Express,Web,Completed,2024-03-07,0,0,0,6613.6900000000005,4842.58,1771.11,4,6,5,WH-JHB,EconoMove,1,0,0,1,5,2024-03-02
O-100037,2024-01-02,2024-01-09,Free State,Normal,Mobile,Completed,2024-01-05,1,0,1,7579.53,7579.53,0.0,4,6,6,WH-DBN,FastTrack,1,1,0,1,3,2024-01-02
O-100038,2024-02-28,2024-03-07,Mpumalanga,Normal,Mobile,Completed,2024-03-02,1,0,0,5057.110000000001,5057.110000000001,0.0,2,4,4,WH-DBN,QuickShip,1,1,1,2,3,2024-02-28
O-100039,2024-04-10,2024-04-16,Limpopo,Normal,Mobile,Completed,2024-04-14,1,0,0,6254.73,6254.73,0.0,2,5,5,WH-JHB,QuickShip,1,1,1,2,4,2024-04-10
O-100040,2024-02-22,2024-03-03,Western Cape,Normal,Mobile,Completed,2024-03-02,1,0,0,5548.44,5548.44,0.0,3,5,5,WH-JHB,EconoMove,1,1,1,2,9,2024-02-22
